V_hub,cp_rotor,mech_out_rotor,power_gen,omega,pitch
1.0,0.4568751209096535,6963.594735051498,7094.694729987363,0.089850433429685,0.0
1.2424242424242424,0.4580958100733457,13390.662035814174,13589.785135431506,0.11158683971006718,0.0
1.4848484848484849,0.4546854353480492,22687.855236120107,22843.519624318422,0.13268065141794266,0.0
1.7272727272727273,0.45288780617279845,35572.087673291535,35703.317076934094,0.15397840778944977,0.0
1.9696969696969697,0.4520461923185106,52652.263340480706,52766.95811889753,0.17539298008375195,0.0
2.212121212121212,0.45173026287565227,74531.85426140754,74621.25189123751,0.196870011311053,0.0
2.4545454545454546,0.4518600529389988,101848.15472189129,101855.32742329431,0.21838381601298876,0.0
2.6969696969696972,0.45152226645530186,135002.97886304665,135060.94632273563,0.23992140629906875,0.0
2.9393939393939394,0.45154122791732093,174786.0516179843,174808.2870264163,0.26146478776030574,0.0
3.1818181818181817,0.45150770801370327,221680.3637834973,221701.49427743678,0.2830188893721479,0.0
3.4242424242424243,0.4515163052937355,276314.0243510832,276316.5333317433,0.30457544224870275,0.0
3.666666666666667,0.45152980843265783,339263.1550237463,339243.8628334767,0.32613441610600785,0.0
3.909090909090909,0.4514510073069661,411030.3744320077,411072.96948822547,0.34769531679857557,0.0
4.151515151515151,0.45149774927799663,492392.52415316564,492370.72496857616,0.36925243522216045,0.0
4.3939393939393945,0.4514155321987419,583679.8009307925,583772.1571869042,0.3908171512795968,0.0
4.636363636363637,0.45158186176869547,685969.7137226235,685812.3403849252,0.41237709165067354,0.0
4.878787878787879,0.45146096523230106,799083.1873820012,799104.9429547788,0.4339375006022951,0.0
5.121212121212121,0.45147287113357065,924242.4935567331,924248.4710739414,0.4555004809567961,0.0
5.363636363636363,0.45138690980659224,1061604.9109240072,1061807.899236839,0.4770615564230918,0.0
5.606060606060606,0.45146807176062675,1212373.3649209167,1212288.1427346654,0.49861033871437194,0.0
5.848484848484849,0.4514993095318222,1376648.8518811828,1376571.2406323354,0.5201862645056861,0.0
6.090909090909091,0.45152503469601746,1555120.9294358732,1554921.576146012,0.5417457977233737,0.0
6.333333333333334,0.45142653530169163,1747914.1633748603,1748063.4673967904,0.5633066930036598,0.0
6.575757575757576,0.4514365655401476,1956456.0402895652,1956578.446607711,0.5848685756354014,0.0
6.818181818181818,0.45144969078589087,2180976.9395717247,2181039.842347029,0.6064296585198791,0.0
7.0606060606060606,0.45146438449133136,2422062.9003594955,2422061.254372767,0.6279922814424468,0.0
7.303030303030303,0.4514717880043997,2680253.698712723,2680186.5748390285,0.6495525652158126,0.0
7.545454545454546,0.45148241249263904,2956194.7249511327,2956072.877569177,0.6711161532220105,0.0
7.787878787878788,0.45149697586902454,3250486.5634292467,3250220.9034283333,0.6926762934846503,0.0
8.030303030303031,0.45144031806756746,3563133.7467072196,3563248.448093835,0.7142352136689897,0.0
8.272727272727273,0.4514309450652858,3895591.6533835614,3895808.540623968,0.7357976444573334,0.0
8.515151515151516,0.45144501723731123,4248327.443859696,4248433.710451454,0.7573596776238742,0.0
8.757575757575758,0.4514772774935494,4621932.356495151,4621721.862661006,0.7789219251921784,0.0
9.0,0.45145453484624987,5016230.993391453,5016214.073324552,0.8004814812750066,0.0
9.242424242424242,0.451410568132265,5432070.524011325,5432573.811928401,0.8220426312764928,0.0
9.484848484848484,0.45147239156442454,5871625.791998808,5871383.20924636,0.8436056255610777,0.0
9.727272727272727,0.45148191828208184,6333585.216590015,6333198.669219927,0.8651678934874661,0.0
9.96969696969697,0.4514870621037581,6819101.625991603,6818563.128521462,0.8867278377422265,0.0
10.212121212121213,0.451444095323864,7328040.1311680265,7328221.046614764,0.9082918282367312,0.0
10.454545454545455,0.45144004523129166,7862334.65592939,7862567.442495873,0.9298523835616994,0.0
10.696969696969697,0.45156402556588887,8424373.465458283,8424246.19167385,0.9514872091288564,0.0
10.93939393939394,0.4514495194918804,9007929.119863462,9007856.687800733,0.9729707089762658,0.0
11.181818181818182,0.45147333236129455,9620670.935891228,9620205.2960815,0.9945366285809061,0.0
11.424242424242424,0.4518666477746991,10269008.120610436,10268656.267852146,1.005206154975873,0.0
11.666666666666668,0.4396267892689073,10640462.287497962,10640002.906948835,1.0254161146350764,2.558981091767569
11.90909090909091,0.4133164422021861,10640315.188652845,10640001.983135814,1.0254151940861829,3.899891604651491
12.151515151515152,0.3890131166538846,10638772.505978264,10639992.282553755,1.025416414211742,4.8002443664103085
12.393939393939394,0.3666781478691025,10640183.367274387,10640001.15165185,1.0254179675755895,5.534367819642688
12.636363636363637,0.3459818229849521,10640342.484125592,10640002.151290983,1.0254175873364337,6.174571796546437
12.878787878787879,0.32681485340194655,10640517.151292792,10640003.250525307,1.0254167905901779,6.7527212134781545
13.121212121212121,0.3090384818622019,10640705.172482323,10640004.437424596,1.0254156498083202,7.286418838320929
13.363636363636363,0.29246776547840353,10638684.625534257,10639991.729189666,1.0254151801839237,7.786108675504554
13.606060606060606,0.2771459789866566,10640003.341399942,10640000.021855207,1.0254181140822867,8.258530259711492
13.84848484848485,0.2628528639615193,10640339.199899422,10640002.13033385,1.0254181191548422,8.708372550337852
14.090909090909092,0.24952257106946657,10640520.059321163,10640003.267944837,1.025417307413558,9.139330334448056
14.333333333333334,0.2370808273715875,10640793.51526778,10640004.991963763,1.0254158730175105,9.554127548481564
